date,instance_usage,cpu_usage,mem_usage,MISC_usage,P100_usage,T4_usage,V100_usage,V100M32_usage,MISC_mem_usage,P100_mem_usage,T4_mem_usage,V100_mem_usage,V100M32_mem_usage
2020-07-12 14:20:00,2318.0966666666664,63696056391.78944,2143478927.6091049,1011162744.9828632,1638353794.9062994,265825942.80425292,105519866.03952898,1621347589.256997,257959078.3770261,189412997.16046453,83285281.0137315,12415513.727461051,507577498.92052
2020-07-12 14:25:00,2302.8966666666665,63416953556.39523,2140102606.5573845,1007410634.3618674,1629583247.3463523,267077498.11945292,105519506.9329268,1621347589.256997,255622029.9073932,188337998.6654116,83152240.87772582,12329057.37192565,507577498.92052
2020-07-12 14:30:00,2274.4299999999994,61650928877.82967,2118376454.868389,971782947.206982,1629001489.1667063,266189853.5050605,105519827.06965378,1621347589.256997,239285004.79566672,188298999.1234293,78656944.65491001,12329092.919903668,507577498.92052
2020-07-12 14:35:00,2254.4,61066369627.35741,2109655239.4522,957446423.8339238,1628940458.7772572,266147505.9576973,105530814.83457904,1621347589.256997,233352220.5190225,188294877.80748945,78622843.39948067,12330312.417208904,507577498.92052
2020-07-12 14:40:00,2258.343333333333,60758626192.89077,2101919375.904462,953448618.8638654,1628703582.0247183,266289895.159351,105269492.57878824,1621342335.0629008,231835248.0986048,188292354.48878,78620758.97492553,11824454.887468634,507495777.28421205
2020-07-12 14:45:00,2238.73,60672554678.90964,2100319432.4923728,952170760.1965967,1628364791.3015988,271982645.208478,104065449.49340887,1621340322.4819744,231188140.7909226,187755779.746834,79108730.77948903,6904026.545641283,507473639.0537507
2020-07-12 14:50:00,2183.6800000000003,60517115258.362114,2095354924.900896,951066006.8968184,1628247628.5009172,271087359.70134705,104418359.75444289,1621340323.3250084,230420280.5317081,187365470.01021844,78945693.49610697,6328614.715684124,507482274.0213125
2020-07-12 14:55:00,2227.6466666666665,59525180735.47224,2016467996.3890777,952510574.3536617,1628271864.854074,269016320.89007694,104516606.16784056,1185035785.2678766,230371706.41082692,187364057.63512337,78898599.14954291,6313812.527962901,345621592.98496073
2020-07-12 15:00:00,2257.21,58591529686.83472,1993325183.1855392,959663206.4721066,1627928462.6570892,261252711.74143937,104485975.28998108,1081095526.0590465,228415076.3242966,187231107.1468656,78715590.41446115,6306453.027771547,307052285.0349241
2020-07-12 15:05:00,2280.57,58275964820.03521,1977484139.282889,958403611.5735928,1627616013.2360144,261043625.67643028,104463867.19525322,1055577996.922786,225055256.1766056,187275818.0077348,78700233.69147335,6305442.6034436375,299900815.1951674
