date,instance_request,cpu_request,mem_request,MISC_request,P100_request,T4_request,V100M32_request,V100_request
2020-07-06 23:15:00,9664.996666666666,422527978357.3333,16179625260.712162,17503826014.416668,7465804911.0,1593284507.833333,7954662970.0,4213576089.1666665
2020-07-06 23:20:00,9736.646666666666,423453619426.6667,16213279955.473528,17504863346.75,7458638125.0,1601786903.666667,7952957279.333333,4372788600.0
2020-07-06 23:25:00,9705.903333333334,423102862921.0,16188735083.127472,17491666194.86667,7452624212.0,1606213209.3333333,7937727426.0,4374080014.333334
2020-07-06 23:30:00,9493.933333333332,420427415464.8,16171657458.891014,17339860506.15,7443607572.0,1618135094.1666665,7941754789.333333,4466977897.666667
2020-07-06 23:35:00,9592.866666666669,421773271323.0,16283880543.068514,17294860861.5,7472004337.666668,1618203761.1666667,7999646034.666666,4625315895.0
2020-07-06 23:40:00,9641.213333333337,422527106751.3333,16314049811.376198,17329596682.416668,7482969621.0,1625507009.6666665,7990775227.5,4682743183.333334
2020-07-06 23:45:00,9459.116666666663,420537937509.7333,16251864997.23159,17302509284.699997,7486632808.0,1626576028.8333333,7944834324.0,4681961591.0
2020-07-06 23:50:00,9252.246666666666,418563009291.3333,16190265802.03995,17245918609.833332,7483113037.833333,1606951878.1666667,7903801903.666667,4681028898.333334
2020-07-06 23:55:00,9250.543333333337,418368577281.3333,16179609479.313738,17246499140.166664,7486251528.333333,1609929915.5833333,7890281073.666667,4680686750.666667
2020-07-07 00:00:00,9462.71,418737501915.5333,16170519358.212135,17245573309.933334,7483645577.5,1624589949.75,7887546142.499999,4680598980.666666
2020-07-07 00:05:00,9813.563333333332,419115374655.3334,16162433068.288906,17249129867.666664,7472271767.833333,1641247505.3333333,7886437676.0,4680437683.0
2020-07-07 00:10:00,9880.983333333332,418999657248.6666,16163870957.807394,17247184411.316666,7471454891.0,1635666826.5,7886497085.333333,4682352377.666667
2020-07-07 00:15:00,9731.11,417286637947.8666,16080409027.65478,17101924323.016666,7465274476.333333,1609223361.9166667,7886490831.0,4683129483.333334
2020-07-07 00:20:00,9586.936666666668,416700939317.33344,16033127171.614271,17058465995.000002,7464626589.333334,1618828860.1666665,7886480400.0,4683056197.666667
2020-07-07 00:25:00,9301.703333333331,416360758851.6666,16009441513.903671,17032304104.91667,7465255425.666666,1625919192.3333333,7886480400.0,4682244928.333334
2020-07-07 00:30:00,9225.613333333333,415801501769.3333,15984035286.317043,17011259970.5,7468634075.666666,1623564783.25,7886480400.0,4681201385.0
2020-07-07 00:35:00,9305.733333333334,417447740121.3333,16073999191.852863,17123014762.916664,7471643354.0,1601294384.1666665,7879176343.666667,4680247936.0
2020-07-07 00:40:00,8991.856666666667,417771207705.3334,16032706930.759169,17118990856.433334,7469050104.000001,1597596166.7500002,7876335700.0,4679971600.0
2020-07-07 00:45:00,8660.343333333334,417133624475.8667,15978669233.627604,17077708356.516666,7468676590.0,1609451527.8333333,7876309565.333333,4679971600.0
2020-07-07 00:50:00,8287.47,415572099305.0,15953457857.144665,17053796868.999998,7469545050.0,1604222580.9999998,7854199303.333333,4679970671.416666
2020-07-07 00:55:00,8075.129999999999,414080810968.6666,15916474207.485676,17056420177.116669,7457887623.333334,1597195455.3333333,7792081600.0,4673324025.0
2020-07-07 01:00:00,7892.906666666667,412091135912.6,15729077026.05,16923725476.216667,7427073340.0,1604679079.5,7791519701.0,4662186377.0
2020-07-07 01:05:00,8406.189999999999,412272358916.0,15683622419.118946,16899967270.650002,7425144500.0,1612640848.8333335,7791052900.0,4656882925.0
2020-07-07 01:10:00,8640.383333333333,414708259796.8666,15690538190.975143,16906641097.849998,7353893466.666666,1628171329.1666665,7791052900.0,4666921874.333334
2020-07-07 01:15:00,8459.856666666667,415054443935.3333,15667933786.55164,16911306464.4,7308010697.0,1616233931.75,7790999314.0,4672902525.0
2020-07-07 01:20:00,7962.666666666666,413885124270.93335,15639216735.90198,16907014142.550003,7290024230.0,1594464126.5,7790434600.0,4672902525.0
2020-07-07 01:25:00,7636.493333333333,412304104234.8,15555837329.973824,16855322260.083332,7274716513.333334,1589716439.3333333,7790434600.0,4672902525.0
2020-07-07 01:30:00,7414.620000000001,410609800932.0,15494398200.237242,16837181584.183336,7246089130.666666,1580230786.9166667,7782239453.333333,4672902525.0
2020-07-07 01:35:00,7447.529999999999,410428660413.0,15475380899.186443,16779397128.583334,7244761000.0,1591133409.1666665,7789132200.0,4672902525.0
2020-07-07 01:40:00,7427.576666666665,409358233804.2666,15416820614.50219,16678285673.966667,7234943155.666667,1592868399.6666665,7789132200.0,4672902525.0
2020-07-07 01:45:00,7478.406666666668,409029427655.0,15399699004.162828,16689868715.666666,7224557027.333333,1591729902.3333335,7786778007.333334,4730293989.0
2020-07-07 01:50:00,7470.786666666666,406493640969.6667,15349138854.483006,16681497048.083332,7220778718.000001,1593555731.0000002,7781509822.333334,4820060125.0
2020-07-07 01:55:00,7427.213333333334,406175866060.0,15376143125.100897,16778409702.166664,7215205809.666667,1596717046.3333333,7777682746.0,4819795531.833334
2020-07-07 02:00:00,7361.986666666667,407630485560.0,15414972139.557005,16877880527.583334,7204270766.333333,1588559632.8333335,7772221128.666667,4819689200.0
2020-07-07 02:05:00,7269.746666666668,406309314109.13336,15363287509.26595,16827445669.400002,7160126184.0,1578675991.5,7767819006.666667,4817315546.666667
2020-07-07 02:10:00,7075.446666666666,404080841074.6667,15286201468.55013,16735744529.916668,7058146350.0,1570153823.9999998,7767433300.0,4804745019.0
2020-07-07 02:15:00,7130.763333333332,404019965987.6667,15283225555.836914,16731583618.833334,7058146350.0,1579079060.3333333,7764390068.666667,4803792300.0
2020-07-07 02:20:00,7146.453333333333,403708945616.93335,15270849447.446486,16719411871.466667,7058146350.0,1580530515.3333333,7758466913.999999,4803792300.0
2020-07-07 02:25:00,7169.610000000001,403523237602.6667,15281408492.952097,16702751771.500002,7058097735.666667,1573301715.1666667,7756851800.0,4803792300.0
2020-07-07 02:30:00,7171.533333333332,404209744167.3333,15352738872.791992,16765127018.333334,7057288450.0,1556866419.1666667,7755576421.666667,4793936154.666666
2020-07-07 02:35:00,7213.803333333333,404225720042.0,15352325654.071611,16763174745.333334,7057288450.0,1611181860.0,7749348824.0,4782209500.0
2020-07-07 02:40:00,7189.343333333332,404314375265.3333,15336347916.134829,16789549369.416668,7057288450.0,1613485551.5,7733365888.000001,4790546598.666666
